y,x,street_count,highway,geometry
9.9364606,78.0756109,3,,POINT (78.0756109 9.9364606)
9.9363129,78.0761055,3,,POINT (78.0761055 9.9363129)
9.9357165,78.0770734,3,,POINT (78.0770734 9.9357165)
9.9341674,78.0820405,3,,POINT (78.0820405 9.9341674)
9.933565,78.083222,4,,POINT (78.083222 9.933565)
9.9238268,78.1242263,3,,POINT (78.1242263 9.9238268)
9.9246476,78.1219472,3,,POINT (78.1219472 9.9246476)
9.9252829,78.1187194,3,,POINT (78.1187194 9.9252829)
9.9279247,78.1069338,3,,POINT (78.1069338 9.9279247)
9.9278209,78.1061257,4,,POINT (78.1061257 9.9278209)
9.9274607,78.1035128,4,,POINT (78.1035128 9.9274607)
9.9111968,78.1496805,3,,POINT (78.1496805 9.9111968)
9.9134972,78.144199,3,,POINT (78.144199 9.9134972)
9.914529,78.1418019,4,,POINT (78.1418019 9.914529)
9.9149864,78.1401481,3,,POINT (78.1401481 9.9149864)
9.9169309,78.133076,3,,POINT (78.133076 9.9169309)
9.9177093,78.1259811,3,,POINT (78.1259811 9.9177093)
9.9177536,78.125404,4,,POINT (78.125404 9.9177536)
9.9011518,78.1634805,3,,POINT (78.1634805 9.9011518)
9.9023772,78.1619143,3,,POINT (78.1619143 9.9023772)
9.9031928,78.1610901,3,,POINT (78.1610901 9.9031928)
9.9038608,78.1601578,3,,POINT (78.1601578 9.9038608)
9.9061061,78.1569021,3,,POINT (78.1569021 9.9061061)
9.9366799,78.1443729,3,,POINT (78.1443729 9.9366799)
9.9364861,78.1444369,3,,POINT (78.1444369 9.9364861)
9.9366126,78.1446378,3,,POINT (78.1446378 9.9366126)
9.9417299,78.1499954,3,,POINT (78.1499954 9.9417299)
9.9461397,78.1572582,3,,POINT (78.1572582 9.9461397)
9.9467158,78.1581789,4,,POINT (78.1581789 9.9467158)
9.9522933,78.174791,3,,POINT (78.174791 9.9522933)
9.9569411,78.18689,3,,POINT (78.18689 9.9569411)
9.9617456,78.1945682,3,,POINT (78.1945682 9.9617456)
9.9626306,78.1968226,3,,POINT (78.1968226 9.9626306)
9.9627271,78.1992272,4,,POINT (78.1992272 9.9627271)
9.9616879,78.2027429,3,,POINT (78.2027429 9.9616879)
9.9160982,78.1398513,3,,POINT (78.1398513 9.9160982)
9.9174543,78.1393877,3,,POINT (78.1393877 9.9174543)
9.924706,78.1413504,3,,POINT (78.1413504 9.924706)
9.936813,78.1419676,3,,POINT (78.1419676 9.936813)
9.94936,78.1467603,3,,POINT (78.1467603 9.94936)
9.9522348,78.1490132,4,,POINT (78.1490132 9.9522348)
9.9544018,78.1507222,3,,POINT (78.1507222 9.9544018)
9.9591579,78.1565437,4,,POINT (78.1565437 9.9591579)
9.9607707,78.157323,3,,POINT (78.157323 9.9607707)
9.9640776,78.1594799,4,,POINT (78.1594799 9.9640776)
9.9670595,78.1615822,3,,POINT (78.1615822 9.9670595)
9.969776,78.1634246,3,,POINT (78.1634246 9.969776)
9.9729251,78.1656568,3,,POINT (78.1656568 9.9729251)
9.9317202,78.1329873,3,,POINT (78.1329873 9.9317202)
9.9320981,78.1338256,3,,POINT (78.1338256 9.9320981)
9.9329745,78.1346238,3,,POINT (78.1346238 9.9329745)
9.9202706,78.1218123,3,,POINT (78.1218123 9.9202706)
9.920581,78.1231133,4,,POINT (78.1231133 9.920581)
9.9209944,78.1247051,4,,POINT (78.1247051 9.9209944)
9.9211301,78.1252276,5,,POINT (78.1252276 9.9211301)
9.9212727,78.1261452,3,,POINT (78.1261452 9.9212727)
9.9207291,78.1288751,3,,POINT (78.1288751 9.9207291)
9.9187202,78.1312779,3,,POINT (78.1312779 9.9187202)
9.9171025,78.1324176,4,,POINT (78.1324176 9.9171025)
9.9162713,78.1318753,4,,POINT (78.1318753 9.9162713)
9.9145515,78.1281577,3,,POINT (78.1281577 9.9145515)
9.914349,78.1256131,4,,POINT (78.1256131 9.914349)
9.9141799,78.1233471,3,,POINT (78.1233471 9.9141799)
9.9108525,78.1220764,3,,POINT (78.1220764 9.9108525)
9.9109298,78.1225309,3,,POINT (78.1225309 9.9109298)
9.9112905,78.1225328,3,,POINT (78.1225328 9.9112905)
9.9131803,78.1250384,3,,POINT (78.1250384 9.9131803)
9.9120356,78.112447,3,,POINT (78.112447 9.9120356)
9.9123382,78.1122687,3,,POINT (78.1122687 9.9123382)
9.9093104,78.1095031,3,,POINT (78.1095031 9.9093104)
9.9073548,78.1001544,4,,POINT (78.1001544 9.9073548)
9.9071607,78.099963,3,,POINT (78.099963 9.9071607)
9.9059409,78.0990609,3,,POINT (78.0990609 9.9059409)
9.9165209,78.1126585,3,,POINT (78.1126585 9.9165209)
9.9143706,78.1125709,3,,POINT (78.1125709 9.9143706)
9.9186991,78.1209776,3,,POINT (78.1209776 9.9186991)
9.9202045,78.1205678,3,,POINT (78.1205678 9.9202045)
9.9219951,78.1216027,3,,POINT (78.1216027 9.9219951)
